Orthogroup	Acaulospora-colombiana-protein	Acaulospora-morrowiae-protein	Ambispora-gerdemannii-protein	Ambispora-leptoticha-protein	Cetraspora-pellucida-protein	Claroideoglomus-candidum-CCK-protein	Claroideoglomus-lamellosum-protein	Dentiscutata-heterogama-protein	Diversispora-eburnea-protein	Diversispora-epigaea-protein	Diversispora-erythropus-protein	Funneliformis-caledonium-protein	Funneliformis-mosseae-protein	Geosiphon-pyriformis-protein	Gigaspora-margarita-BEG34-protein	Gigaspora-rosea-FL-protein	Innospora-majewskii-protein	Paraglomus-brasilianum-protein	Paroglomus-occultum-protein	Racocetra-persica-protein	Rhizophagus-cerebriforme-protein	Rhizophagus-clarus-protein	Rhizophagus-diaphanus-protein	Rhizophagus-fulgida-protein	Rhizophagus-irregularis-protein	Scutellospora-calospora-protein	Septoglomus-turnauae-protein
OG0033034	CAG8461166.1																										
OG0033035	CAG8462045.1																										
OG0033036	CAG8462067.1																										
OG0033037	CAG8462116.1																										
OG0033038	CAG8462135.1																										
OG0033039	CAG8463431.1																										
OG0033040	CAG8463521.1																										
OG0033041	CAG8463610.1																										
OG0033042	CAG8463649.1																										
OG0033043	CAG8463743.1																										
OG0033044	CAG8463957.1																										
OG0033045	CAG8463983.1																										
OG0033046	CAG8464747.1																										
OG0033047	CAG8464897.1																										
OG0033048	CAG8465133.1																										
OG0033049	CAG8465633.1																										
OG0033050	CAG8466140.1																										
OG0033051	CAG8466557.1																										
OG0033052	CAG8466632.1																										
OG0033053	CAG8466774.1																										
OG0033054	CAG8467360.1																										
OG0033055	CAG8467492.1																										
OG0033056	CAG8467662.1																										
OG0033057	CAG8467774.1																										
OG0033058	CAG8468178.1																										
OG0033059	CAG8468245.1																										
OG0033060	CAG8468447.1																										
OG0033061	CAG8468619.1																										
OG0033062	CAG8468975.1																										
OG0033063	CAG8469365.1																										
OG0033064	CAG8469588.1																										
OG0033065	CAG8469668.1																										
OG0033066	CAG8469963.1																										
OG0033067	CAG8470142.1																										
OG0033068	CAG8470345.1																										
OG0033069	CAG8470588.1																										
OG0033070	CAG8470643.1																										
OG0033071	CAG8471378.1																										
OG0033072	CAG8471399.1																										
OG0033073	CAG8471417.1																										
OG0033074	CAG8471434.1																										
OG0033075	CAG8471850.1																										
OG0033076	CAG8472140.1																										
OG0033077	CAG8472356.1																										
OG0033078	CAG8472602.1																										
OG0033079	CAG8472671.1																										
OG0033080	CAG8472692.1																										
OG0033081	CAG8472715.1																										
OG0033082	CAG8472877.1																										
OG0033083	CAG8472909.1																										
OG0033084	CAG8473797.1																										
OG0033085	CAG8473847.1																										
OG0033086	CAG8474106.1																										
OG0033087	CAG8474324.1																										
OG0033088	CAG8474337.1																										
OG0033089	CAG8474374.1																										
OG0033090	CAG8474852.1																										
OG0033091	CAG8475116.1																										
OG0033092	CAG8475193.1																										
OG0033093	CAG8475213.1																										
OG0033094	CAG8476025.1																										
OG0033095	CAG8476353.1																										
OG0033096	CAG8477104.1																										
OG0033097	CAG8477123.1																										
OG0033098	CAG8477192.1																										
OG0033099	CAG8477422.1																										
OG0033100	CAG8477560.1																										
OG0033101	CAG8477666.1																										
OG0033102	CAG8477698.1																										
OG0033103	CAG8479127.1																										
OG0033104	CAG8480533.1																										
OG0033105	CAG8480620.1																										
OG0033106	CAG8481309.1																										
OG0033107	CAG8481512.1																										
OG0033108	CAG8481684.1																										
OG0033109	CAG8481761.1																										
OG0033110	CAG8482378.1																										
OG0033111	CAG8482410.1																										
OG0033112	CAG8482642.1																										
OG0033113	CAG8482928.1																										
OG0033114	CAG8483330.1																										
OG0033115	CAG8483971.1																										
OG0033116	CAG8484035.1																										
OG0033117	CAG8484066.1																										
OG0033118	CAG8484912.1																										
OG0033119	CAG8485270.1																										
OG0033120	CAG8485576.1																										
OG0033121	CAG8485595.1																										
OG0033122	CAG8485633.1																										
OG0033123	CAG8485653.1																										
OG0033124	CAG8485673.1																										
OG0033125	CAG8485698.1																										
OG0033126	CAG8486252.1																										
OG0033127	CAG8487515.1																										
OG0033128	CAG8487811.1																										
OG0033129	CAG8488023.1																										
OG0033130	CAG8488796.1																										
OG0033131	CAG8488858.1																										
OG0033132	CAG8489275.1																										
OG0033133	CAG8489312.1																										
OG0033134	CAG8489942.1																										
OG0033135	CAG8490443.1																										
OG0033136	CAG8490810.1																										
OG0033137	CAG8490930.1																										
OG0033138	CAG8491016.1																										
OG0033139	CAG8491348.1																										
OG0033140	CAG8491499.1																										
OG0033141	CAG8491612.1																										
OG0033142	CAG8491632.1																										
OG0033143	CAG8491796.1																										
OG0033144	CAG8491905.1																										
OG0033145	CAG8492267.1																										
OG0033146	CAG8492667.1																										
OG0033147	CAG8492871.1																										
OG0033148	CAG8493214.1																										
OG0033149	CAG8493704.1																										
OG0033150	CAG8493941.1																										
OG0033151	CAG8494118.1																										
OG0033152	CAG8494523.1																										
OG0033153	CAG8494551.1																										
OG0033154	CAG8494801.1																										
OG0033155	CAG8494939.1																										
OG0033156	CAG8495021.1																										
OG0033157	CAG8495126.1																										
OG0033158	CAG8495148.1																										
OG0033159	CAG8495233.1																										
OG0033160	CAG8495319.1																										
OG0033161	CAG8495967.1																										
OG0033162	CAG8496455.1																										
OG0033163	CAG8496920.1																										
OG0033164	CAG8496961.1																										
OG0033165	CAG8497195.1																										
OG0033166	CAG8497367.1																										
OG0033167	CAG8497430.1																										
OG0033168	CAG8497634.1																										
OG0033169	CAG8497734.1																										
OG0033170	CAG8497886.1																										
OG0033171	CAG8498555.1																										
OG0033172	CAG8499783.1																										
OG0033173	CAG8499962.1																										
OG0033174	CAG8500830.1																										
OG0033175	CAG8500977.1																										
OG0033176	CAG8500999.1																										
OG0033177	CAG8501513.1																										
OG0033178	CAG8501791.1																										
OG0033179	CAG8503061.1																										
OG0033180	CAG8503081.1																										
OG0033181	CAG8503101.1																										
OG0033182	CAG8504215.1																										
OG0033183	CAG8504323.1																										
OG0033184	CAG8504705.1																										
OG0033185	CAG8504952.1																										
OG0033186	CAG8505000.1																										
OG0033187	CAG8505187.1																										
OG0033188	CAG8505401.1																										
OG0033189	CAG8506608.1																										
OG0033190	CAG8506627.1																										
OG0033191	CAG8506663.1																										
OG0033192	CAG8506909.1																										
OG0033193	CAG8507391.1																										
OG0033194	CAG8507432.1																										
OG0033195	CAG8507478.1																										
OG0033196	CAG8507503.1																										
OG0033197	CAG8507545.1																										
OG0033198	CAG8507584.1																										
OG0033199	CAG8507623.1																										
OG0033200	CAG8508082.1																										
OG0033201	CAG8508178.1																										
OG0033202	CAG8509409.1																										
OG0033203	CAG8509454.1																										
OG0033204	CAG8509732.1																										
OG0033205	CAG8509875.1																										
OG0033206	CAG8509897.1																										
OG0033207	CAG8510458.1																										
OG0033208	CAG8510531.1																										
OG0033209	CAG8511098.1																										
OG0033210	CAG8511116.1																										
OG0033211	CAG8511319.1																										
OG0033212	CAG8511399.1																										
OG0033213	CAG8511419.1																										
OG0033214	CAG8511458.1																										
OG0033215	CAG8511479.1																										
OG0033216	CAG8511529.1																										
OG0033217	CAG8511648.1																										
OG0033218	CAG8512169.1																										
OG0033219	CAG8512272.1																										
OG0033220	CAG8512322.1																										
OG0033221	CAG8512412.1																										
OG0033222	CAG8512451.1																										
OG0033223	CAG8513735.1																										
OG0033224	CAG8514086.1																										
OG0033225	CAG8514161.1																										
OG0033226	CAG8514400.1																										
OG0033227	CAG8515215.1																										
OG0033228	CAG8515235.1																										
OG0033229	CAG8515299.1																										
OG0033230	CAG8516055.1																										
OG0033231	CAG8516137.1																										
OG0033232	CAG8516176.1																										
OG0033233	CAG8516484.1																										
OG0033234	CAG8516507.1																										
OG0033235	CAG8516666.1																										
OG0033236	CAG8516811.1																										
OG0033237	CAG8516989.1																										
OG0033238	CAG8517162.1																										
OG0033239	CAG8517215.1																										
OG0033240	CAG8517234.1																										
OG0033241	CAG8517994.1																										
OG0033242	CAG8518015.1																										
OG0033243	CAG8518028.1																										
OG0033244	CAG8518065.1																										
OG0033245	CAG8518094.1																										
OG0033246	CAG8518158.1																										
OG0033247	CAG8518756.1																										
OG0033248	CAG8519330.1																										
OG0033249	CAG8519874.1																										
OG0033250	CAG8519912.1																										
OG0033251	CAG8519930.1																										
OG0033252	CAG8519973.1																										
OG0033253	CAG8520119.1																										
OG0033254	CAG8520314.1																										
OG0033255	CAG8521055.1																										
OG0033256	CAG8521147.1																										
OG0033257	CAG8521227.1																										
OG0033258	CAG8521253.1																										
OG0033259	CAG8521259.1																										
OG0033260	CAG8521398.1																										
OG0033261	CAG8521420.1																										
OG0033262	CAG8521431.1																										
OG0033263	CAG8521512.1																										
OG0033264	CAG8521752.1																										
OG0033265	CAG8521803.1																										
OG0033266	CAG8522069.1																										
OG0033267	CAG8522898.1																										
OG0033268	CAG8523092.1																										
OG0033269	CAG8523306.1																										
OG0033270	CAG8523419.1																										
OG0033271	CAG8523502.1																										
OG0033272	CAG8523649.1																										
OG0033273	CAG8523927.1																										
OG0033274	CAG8523948.1																										
OG0033275	CAG8524045.1																										
OG0033276	CAG8525055.1																										
OG0033277	CAG8525186.1																										
OG0033278	CAG8525208.1																										
OG0033279	CAG8525383.1																										
OG0033280	CAG8525707.1																										
OG0033281	CAG8525804.1																										
OG0033282	CAG8526262.1																										
OG0033283	CAG8526681.1																										
OG0033284	CAG8526761.1																										
OG0033285	CAG8526947.1																										
OG0033286	CAG8527123.1																										
OG0033287	CAG8527144.1																										
OG0033288	CAG8527356.1																										
OG0033289	CAG8527705.1																										
OG0033290	CAG8527844.1																										
OG0033291	CAG8527881.1																										
OG0033292	CAG8527924.1																										
OG0033293	CAG8527947.1																										
OG0033294	CAG8527967.1																										
OG0033295	CAG8528286.1																										
OG0033296	CAG8528455.1																										
OG0033297	CAG8528699.1																										
OG0033298	CAG8528832.1																										
OG0033299	CAG8528959.1																										
OG0033300	CAG8528987.1																										
OG0033301	CAG8529044.1																										
OG0033302	CAG8529471.1																										
OG0033303	CAG8529498.1																										
OG0033304	CAG8529867.1																										
OG0033305	CAG8529960.1																										
OG0033306	CAG8530142.1																										
OG0033307	CAG8530221.1																										
OG0033308	CAG8530651.1																										
OG0033309	CAG8531525.1																										
OG0033310	CAG8531601.1																										
OG0033311	CAG8531779.1																										
OG0033312	CAG8532459.1																										
OG0033313	CAG8532480.1																										
OG0033314	CAG8532525.1																										
OG0033315	CAG8532705.1																										
OG0033316	CAG8532997.1																										
OG0033317	CAG8533016.1																										
OG0033318	CAG8533042.1																										
OG0033319	CAG8533062.1																										
OG0033320	CAG8533142.1																										
OG0033321	CAG8533164.1																										
OG0033322	CAG8533185.1																										
OG0033323	CAG8533409.1																										
OG0033324	CAG8533527.1																										
OG0033325	CAG8533700.1																										
OG0033326	CAG8533713.1																										
OG0033327	CAG8533737.1																										
OG0033328	CAG8533829.1																										
OG0033329	CAG8534075.1																										
OG0033330	CAG8534110.1																										
OG0033331	CAG8534357.1																										
OG0033332	CAG8534988.1																										
OG0033333	CAG8535012.1																										
OG0033334	CAG8535196.1																										
OG0033335	CAG8535326.1																										
OG0033336	CAG8536670.1																										
OG0033337	CAG8536727.1																										
OG0033338	CAG8536848.1																										
OG0033339	CAG8536866.1																										
OG0033340	CAG8536887.1																										
OG0033341	CAG8537416.1																										
OG0033342	CAG8537440.1																										
OG0033343	CAG8537462.1																										
OG0033344	CAG8537479.1																										
OG0033345	CAG8537660.1																										
OG0033346	CAG8537721.1																										
OG0033347	CAG8537831.1																										
OG0033348	CAG8537934.1																										
OG0033349	CAG8537963.1																										
OG0033350	CAG8538258.1																										
OG0033351	CAG8538285.1																										
OG0033352	CAG8538307.1																										
OG0033353	CAG8538328.1																										
OG0033354	CAG8538348.1																										
OG0033355	CAG8538368.1																										
OG0033356	CAG8538389.1																										
OG0033357	CAG8538508.1																										
OG0033358	CAG8538709.1																										
OG0033359	CAG8538821.1																										
OG0033360	CAG8538845.1																										
OG0033361	CAG8538869.1																										
OG0033362	CAG8538886.1																										
OG0033363	CAG8538903.1																										
OG0033364	CAG8539444.1																										
OG0033365	CAG8539612.1																										
OG0033366	CAG8539656.1																										
OG0033367	CAG8539678.1																										
OG0033368	CAG8539756.1																										
OG0033369	CAG8539939.1																										
OG0033370	CAG8539963.1																										
OG0033371	CAG8540089.1																										
OG0033372	CAG8540336.1																										
OG0033373	CAG8540531.1																										
OG0033374	CAG8540551.1																										
OG0033375	CAG8540648.1																										
OG0033376	CAG8540668.1																										
OG0033377	CAG8541363.1																										
OG0033378	CAG8541401.1																										
OG0033379	CAG8541440.1																										
OG0033380	CAG8541459.1																										
OG0033381	CAG8542601.1																										
OG0033382	CAG8543056.1																										
OG0033383	CAG8544023.1																										
OG0033384	CAG8544307.1																										
OG0033385	CAG8545161.1																										
OG0033386	CAG8545181.1																										
OG0033387	CAG8545230.1																										
OG0033388	CAG8545250.1																										
OG0033389	CAG8545266.1																										
OG0033390	CAG8545772.1																										
OG0033391	CAG8545992.1																										
OG0033392	CAG8546253.1																										
OG0033393	CAG8546271.1																										
OG0033394	CAG8546292.1																										
OG0033395	CAG8546310.1																										
OG0033396	CAG8546330.1																										
OG0033397	CAG8546350.1																										
OG0033398	CAG8546879.1																										
OG0033399	CAG8547257.1																										
OG0033400	CAG8547330.1																										
OG0033401	CAG8548491.1																										
OG0033402	CAG8548500.1																										
OG0033403	CAG8548529.1																										
OG0033404	CAG8548552.1																										
OG0033405	CAG8548594.1																										
OG0033406	CAG8548681.1																										
OG0033407	CAG8548709.1																										
OG0033408	CAG8548753.1																										
OG0033409	CAG8548776.1																										
OG0033410	CAG8548844.1																										
OG0033411	CAG8549611.1																										
OG0033412	CAG8549738.1																										
OG0033413	CAG8549829.1																										
OG0033414	CAG8550746.1																										
OG0033415	CAG8550878.1																										
OG0033416	CAG8550897.1																										
OG0033417	CAG8550917.1																										
OG0033418	CAG8550930.1																										
OG0033419	CAG8551092.1																										
OG0033420	CAG8551395.1																										
OG0033421	CAG8551946.1																										
OG0033422	CAG8552075.1																										
OG0033423	CAG8552321.1																										
OG0033424	CAG8552410.1																										
OG0033425	CAG8552429.1																										
OG0033426	CAG8552526.1																										
OG0033427	CAG8553523.1																										
OG0033428	CAG8553654.1																										
OG0033429	CAG8553712.1																										
OG0033430	CAG8553731.1																										
OG0033431	CAG8553750.1																										
OG0033432	CAG8553843.1																										
OG0033433	CAG8553875.1																										
OG0033434	CAG8553953.1																										
OG0033435	CAG8554589.1																										
OG0033436	CAG8554609.1																										
OG0033437	CAG8554612.1																										
OG0033438	CAG8554631.1																										
OG0033439	CAG8554672.1																										
OG0033440	CAG8554736.1																										
OG0033441	CAG8554755.1																										
OG0033442	CAG8554835.1																										
OG0033443	CAG8555266.1																										
OG0033444	CAG8555282.1																										
OG0033445	CAG8555304.1																										
OG0033446	CAG8556027.1																										
OG0033447	CAG8556046.1																										
OG0033448	CAG8556299.1																										
OG0033449	CAG8556610.1																										
OG0033450	CAG8556791.1																										
OG0033451	CAG8556811.1																										
OG0033452	CAG8558059.1																										
OG0033453	CAG8558130.1																										
OG0033454	CAG8558146.1																										
OG0033455	CAG8558166.1																										
OG0033456	CAG8558369.1																										
OG0033457	CAG8558404.1																										
OG0033458	CAG8558603.1																										
OG0033459	CAG8558924.1																										
OG0033460	CAG8559265.1																										
OG0033461	CAG8559302.1																										
OG0033462	CAG8559321.1																										
OG0033463	CAG8559358.1																										
OG0033464	CAG8559467.1																										
OG0033465	CAG8559487.1																										
OG0033466	CAG8559566.1																										
OG0033467	CAG8559586.1																										
OG0033468	CAG8559603.1																										
OG0033469	CAG8559803.1																										
OG0033470	CAG8560070.1																										
OG0033471	CAG8560212.1																										
OG0033472	CAG8560927.1																										
OG0033473	CAG8561148.1																										
OG0033474	CAG8561185.1																										
OG0033475	CAG8561431.1																										
OG0033476	CAG8561574.1																										
OG0033477	CAG8561986.1																										
OG0033478	CAG8562048.1																										
OG0033479	CAG8562067.1																										
OG0033480	CAG8562089.1																										
OG0033481	CAG8562304.1																										
OG0033482	CAG8562321.1																										
OG0033483	CAG8562363.1																										
OG0033484	CAG8563071.1																										
OG0033485	CAG8563090.1																										
OG0033486	CAG8563261.1																										
OG0033487	CAG8563360.1																										
OG0033488	CAG8563796.1																										
OG0033489	CAG8563849.1																										
OG0033490	CAG8563956.1																										
OG0033491	CAG8563970.1																										
OG0033492	CAG8564349.1																										
OG0033493	CAG8564491.1																										
OG0033494	CAG8564533.1																										
OG0033495	CAG8564741.1																										
OG0033496	CAG8565100.1																										
OG0033497	CAG8565534.1																										
OG0033498	CAG8565828.1																										
OG0033499	CAG8565918.1																										
OG0033500	CAG8565937.1																										
OG0033501	CAG8566022.1																										
OG0033502	CAG8566254.1																										
OG0033503	CAG8566358.1																										
OG0033504	CAG8566708.1																										
OG0033505	CAG8566726.1																										
OG0033506	CAG8566745.1																										
OG0033507	CAG8566917.1																										
OG0033508	CAG8567289.1																										
OG0033509	CAG8567707.1																										
OG0033510	CAG8567764.1																										
OG0033511	CAG8567788.1																										
OG0033512	CAG8567808.1																										
OG0033513	CAG8567830.1																										
OG0033514	CAG8568246.1																										
OG0033515	CAG8568467.1																										
OG0033516	CAG8568597.1																										
OG0033517	CAG8568947.1																										
OG0033518	CAG8568964.1																										
OG0033519	CAG8569028.1																										
OG0033520	CAG8569045.1																										
OG0033521	CAG8569103.1																										
OG0033522	CAG8569322.1																										
OG0033523	CAG8569435.1																										
OG0033524	CAG8569453.1																										
OG0033525	CAG8569471.1																										
OG0033526	CAG8569487.1																										
OG0033527	CAG8569501.1																										
OG0033528	CAG8569520.1																										
OG0033529	CAG8569661.1																										
OG0033530	CAG8569703.1																										
OG0033531	CAG8569788.1																										
OG0033532	CAG8569832.1																										
OG0033533	CAG8570713.1																										
OG0033534	CAG8570942.1																										
OG0033535	CAG8571168.1																										
OG0033536	CAG8571208.1																										
OG0033537	CAG8571499.1																										
OG0033538	CAG8571517.1																										
OG0033539	CAG8571999.1																										
OG0033540	CAG8572534.1																										
OG0033541	CAG8572653.1																										
OG0033542	CAG8572672.1																										
OG0033543	CAG8573809.1																										
OG0033544	CAG8573825.1																										
OG0033545	CAG8574284.1																										
OG0033546	CAG8574379.1																										
OG0033547	CAG8574397.1																										
OG0033548	CAG8574414.1																										
OG0033549	CAG8574431.1																										
OG0033550	CAG8574527.1																										
OG0033551	CAG8575026.1																										
OG0033552	CAG8575160.1																										
OG0033553	CAG8575302.1																										
OG0033554	CAG8575320.1																										
OG0033555	CAG8575551.1																										
OG0033556	CAG8575589.1																										
OG0033557	CAG8575833.1																										
OG0033558	CAG8576108.1																										
OG0033559	CAG8576794.1																										
OG0033560	CAG8577044.1																										
OG0033561	CAG8577065.1																										
OG0033562	CAG8577105.1																										
OG0033563	CAG8577462.1																										
OG0033564	CAG8577480.1																										
OG0033565	CAG8577522.1																										
OG0033566	CAG8577623.1																										
OG0033567	CAG8577681.1																										
OG0033568	CAG8578018.1																										
OG0033569	CAG8578035.1																										
OG0033570	CAG8578443.1																										
OG0033571	CAG8578457.1																										
OG0033572	CAG8578563.1																										
OG0033573	CAG8578747.1																										
OG0033574	CAG8578932.1																										
OG0033575	CAG8578968.1																										
OG0033576	CAG8578989.1																										
OG0033577	CAG8579077.1																										
OG0033578	CAG8579305.1																										
OG0033579	CAG8579473.1																										
OG0033580	CAG8579666.1																										
OG0033581	CAG8579971.1																										
OG0033582	CAG8579973.1																										
OG0033583	CAG8579987.1																										
OG0033584	CAG8580005.1																										
OG0033585	CAG8580023.1																										
OG0033586	CAG8580041.1																										
OG0033587	CAG8580604.1																										
OG0033588	CAG8580643.1																										
OG0033589	CAG8580668.1																										
OG0033590	CAG8580819.1																										
OG0033591	CAG8580941.1																										
OG0033592	CAG8581017.1																										
OG0033593	CAG8581057.1																										
OG0033594	CAG8581801.1																										
OG0033595	CAG8581814.1																										
OG0033596	CAG8581834.1																										
OG0033597	CAG8582044.1																										
OG0033598	CAG8582101.1																										
OG0033599	CAG8582138.1																										
OG0033600	CAG8582172.1																										
OG0033601	CAG8582463.1																										
OG0033602	CAG8582514.1																										
OG0033603	CAG8582677.1																										
OG0033604	CAG8582868.1																										
OG0033605	CAG8583545.1																										
OG0033606	CAG8583692.1																										
OG0033607	CAG8583750.1																										
OG0033608	CAG8583766.1																										
OG0033609	CAG8583802.1																										
OG0033610	CAG8583811.1																										
OG0033611	CAG8583829.1																										
OG0033612	CAG8583878.1																										
OG0033613	CAG8584201.1																										
OG0033614	CAG8584218.1																										
OG0033615	CAG8584253.1																										
OG0033616	CAG8584306.1																										
OG0033617	CAG8584323.1																										
OG0033618	CAG8584454.1																										
OG0033619	CAG8584492.1																										
OG0033620	CAG8584508.1																										
OG0033621	CAG8584527.1																										
OG0033622	CAG8584547.1																										
OG0033623	CAG8584698.1																										
OG0033624	CAG8585627.1																										
OG0033625	CAG8585650.1																										
OG0033626	CAG8585687.1																										
OG0033627	CAG8585755.1																										
OG0033628	CAG8585780.1																										
OG0033629	CAG8585794.1																										
OG0033630	CAG8585814.1																										
OG0033631	CAG8585895.1																										
OG0033632	CAG8586066.1																										
OG0033633	CAG8586119.1																										
OG0033634	CAG8586286.1																										
OG0033635	CAG8586726.1																										
OG0033636	CAG8586799.1																										
OG0033637	CAG8586816.1																										
OG0033638	CAG8587020.1																										
OG0033639	CAG8587023.1																										
OG0033640	CAG8587132.1																										
OG0033641	CAG8587196.1																										
OG0033642	CAG8587212.1																										
OG0033643	CAG8587241.1																										
OG0033644	CAG8587315.1																										
OG0033645	CAG8587332.1																										
OG0033646	CAG8587643.1																										
OG0033647	CAG8588191.1																										
OG0033648	CAG8588267.1																										
OG0033649	CAG8588334.1																										
OG0033650	CAG8588626.1																										
OG0033651	CAG8588902.1																										
OG0033652	CAG8589074.1																										
OG0033653	CAG8589092.1																										
OG0033654	CAG8589113.1																										
OG0033655	CAG8589133.1																										
OG0033656	CAG8589367.1																										
OG0033657	CAG8589438.1																										
OG0033658	CAG8589458.1																										
OG0033659	CAG8589475.1																										
OG0033660	CAG8589501.1																										
OG0033661	CAG8589518.1																										
OG0033662	CAG8589541.1																										
OG0033663	CAG8589560.1																										
OG0033664	CAG8589596.1																										
OG0033665	CAG8589665.1																										
OG0033666	CAG8589749.1																										
OG0033667	CAG8589779.1																										
OG0033668	CAG8589799.1																										
OG0033669	CAG8589834.1																										
OG0033670	CAG8589954.1																										
OG0033671	CAG8590197.1																										
OG0033672	CAG8590216.1																										
OG0033673	CAG8590233.1																										
OG0033674	CAG8590242.1																										
OG0033675	CAG8590284.1																										
OG0033676	CAG8590382.1																										
OG0033677	CAG8590398.1																										
OG0033678	CAG8590415.1																										
OG0033679	CAG8590434.1																										
OG0033680	CAG8590768.1																										
OG0033681	CAG8591448.1																										
OG0033682	CAG8591571.1																										
OG0033683	CAG8592070.1																										
OG0033684	CAG8592323.1																										
OG0033685	CAG8592541.1																										
OG0033686	CAG8592812.1																										
OG0033687	CAG8592822.1																										
OG0033688	CAG8592835.1																										
OG0033689	CAG8592856.1																										
OG0033690	CAG8592875.1																										
OG0033691	CAG8592973.1																										
OG0033692	CAG8593009.1																										
OG0033693	CAG8593086.1																										
OG0033694	CAG8593243.1																										
OG0033695	CAG8593273.1																										
OG0033696	CAG8593601.1																										
OG0033697	CAG8594092.1																										
OG0033698	CAG8594382.1																										
OG0033699	CAG8594414.1																										
OG0033700	CAG8594646.1																										
OG0033701	CAG8594748.1																										
OG0033702	CAG8594855.1																										
OG0033703	CAG8594891.1																										
OG0033704	CAG8594952.1																										
OG0033705	CAG8594986.1																										
OG0033706	CAG8595003.1																										
OG0033707	CAG8595023.1																										
OG0033708	CAG8595043.1																										
OG0033709	CAG8595118.1																										
OG0033710	CAG8595376.1																										
OG0033711	CAG8595396.1																										
OG0033712	CAG8595594.1																										
OG0033713	CAG8595705.1																										
OG0033714	CAG8596152.1																										
OG0033715	CAG8596194.1																										
OG0033716	CAG8596388.1																										
OG0033717	CAG8596408.1																										
OG0033718	CAG8596429.1																										
OG0033719	CAG8596523.1																										
OG0033720	CAG8596563.1																										
OG0033721	CAG8596580.1																										
